"Time (s)","Frequency (Hz)","Speed (m/s)"
2.967619321E0,1.997289394E3,-4.614283834E-1
2.977619530E0,1.998363733E3,-2.783931653E-1
2.987619738E0,1.998716108E3,-2.184018546E-1
2.997619946E0,1.999056362E3,-1.604942114E-1
3.007620155E0,1.998377704E3,-2.760141702E-1
3.017620363E0,1.998418146E3,-2.691280942E-1
3.027620571E0,1.998002659E3,-3.398874389E-1
3.037620780E0,1.998749614E3,-2.126985523E-1
3.047620988E0,1.998070703E3,-3.282971369E-1
3.057621196E0,1.997669714E3,-3.966107748E-1
3.067621405E0,1.997474910E3,-4.298079420E-1
3.077621613E0,1.999769767E3,-3.914407140E-2
3.087621821E0,1.998517279E3,-2.522496535E-1
3.097622030E0,1.998456942E3,-2.625223876E-1
3.107622238E0,1.996696767E3,-5.624785907E-1
3.117622446E0,1.999698278E3,-5.130048401E-2
3.127622655E0,2.002731466E3,4.637159438E-1
3.137622863E0,1.999480084E3,-8.840866896E-2
3.147623072E0,2.001638768E3,2.783624474E-1
3.157623280E0,2.002058378E3,3.495645336E-1
3.167623488E0,1.999797942E3,-3.435331315E-2
3.177623697E0,2.001323482E3,2.248431787E-1
3.187623905E0,2.004580990E3,7.769885968E-1
3.197624113E0,NaN,NaN
3.207624322E0,1.999915957E3,-1.428784781E-2
3.217624530E0,NaN,NaN
3.227624738E0,NaN,NaN
3.237624947E0,NaN,NaN
3.247625155E0,NaN,NaN
3.257625363E0,1.996029797E3,-6.762769788E-1
3.267625572E0,1.998855731E3,-1.946371139E-1
3.277625780E0,NaN,NaN
3.287625988E0,NaN,NaN
3.297626197E0,NaN,NaN
3.292580311E0,NaN,NaN
3.302580519E0,1.999233147E3,-1.304149618E-1
3.312580728E0,1.999918222E3,-1.390288310E-2
3.322580936E0,NaN,NaN
3.332581144E0,NaN,NaN
3.342581353E0,1.999035174E3,-1.640996572E-1
3.352581561E0,2.008935342E3,1.512251945E0
3.362581769E0,NaN,NaN
3.372581978E0,NaN,NaN
3.382582186E0,NaN,NaN
3.392582394E0,1.997511835E3,-4.235148995E-1
3.402582603E0,NaN,NaN
3.412582811E0,NaN,NaN
3.422583019E0,2.000505113E3,8.584760384E-2
3.432583228E0,NaN,NaN
3.442583436E0,NaN,NaN
3.452583644E0,1.998613792E3,-2.358187561E-1
3.462583853E0,NaN,NaN
3.472584061E0,NaN,NaN
3.482584269E0,NaN,NaN
3.492584478E0,NaN,NaN
3.502584686E0,NaN,NaN
3.512584894E0,NaN,NaN
3.522585103E0,1.995486837E3,-7.689730023E-1
3.532585311E0,2.000308275E3,1.783941037E0
3.542585519E0,NaN,5.239863270E-2
3.552585728E0,NaN,NaN
3.562585936E0,NaN,NaN
3.572586144E0,NaN,NaN
3.582586353E0,NaN,NaN
