"Time (s)","Frequency (Hz)","Speed (m/s)"
3.291149125E0,9.976705177E2,-7.938732843E-1
3.301149334E0,9.973912284E2,-8.893023196E-1
3.334380625E0,9.972935511E2,-9.226898301E-1
3.344380833E0,9.971755899E2,-9.630193826E-1
3.354381042E0,9.978532221E2,-7.314747990E-1
3.364381250E0,9.981371625E2,-6.345467924E-1
3.374381458E0,9.980040573E2,-6.799777216E-1
3.384381667E0,9.981139733E2,-6.424607756E-1
3.394381875E0,9.988264767E2,-3.994666942E-1
3.404382083E0,9.996194999E2,-1.294192745E-1
3.414382292E0,9.992634304E2,-2.506182514E-1
3.424382500E0,9.989506267E2,-3.571617183E-1
3.434382708E0,9.981166584E2,-6.415443791E-1
3.444382917E0,9.976828519E2,-7.896601164E-1
3.454383125E0,9.979554415E2,-6.965740680E-1
3.464383333E0,9.963216852E2,-1.255244220E0
3.474383542E0,9.952227689E2,-1.632055293E0
3.484383750E0,9.954165079E2,-1.565563048E0
3.494383958E0,9.945336253E2,-1.868782854E0
3.504384167E0,9.945129910E2,-1.875876001E0
3.514384375E0,非數值,非數值
3.524384583E0,9.958014738E2,-1.433517571E0
3.534384792E0,9.965032260E2,-1.193075079E0
3.544385000E0,9.972808122E2,-9.270446715E-1
3.554385208E0,9.969383049E2,-1.044173291E0
3.564385417E0,9.980706902E2,-6.572333229E-1
3.574385625E0,9.990578930E2,-3.206184205E-1
3.584385833E0,9.950309809E2,-1.697903413E0
3.594386042E0,非數值,非數值
3.604386250E0,非數值,非數值
3.614386458E0,非數值,非數值
3.624386667E0,9.954759962E2,-1.545151563E0
3.634386875E0,9.969687242E2,-1.033767419E0
3.644387083E0,9.986563497E2,-4.574557585E-1
3.654387292E0,9.997964269E2,-6.922894376E-2
3.664387500E0,1.000059419E3,2.020111178E-2
3.674387708E0,9.961024687E2,-1.330345691E0
3.684387917E0,9.968173149E2,-1.085567953E0
3.694388125E0,1.000291615E3,9.912009461E-2
3.704388333E0,1.000440099E3,1.495679187E-1
3.714388542E0,9.995720894E2,-1.455518968E-1
3.724388750E0,9.994394633E2,-1.906893795E-1
3.734388958E0,9.980966519E2,-6.483724201E-1
3.744389167E0,9.966574535E2,-1.140277232E0
3.754389375E0,1.000494255E3,1.679636855E-1
3.764389584E0,1.003121572E3,1.058031760E0
3.774389792E0,9.990929983E2,-3.086605416E-1
3.784390000E0,9.979009773E2,-7.151688857E-1
3.794390209E0,9.989643917E2,-3.524718285E-1
3.804390417E0,1.001184854E3,4.023736924E-1
3.814390625E0,1.000718652E3,2.441661876E-1
3.824390834E0,9.957227118E2,-1.460525085E0
3.860047750E0,非數值,非數值
3.870047958E0,9.956078419E2,-1.499921638E0
3.880048167E0,9.947864737E2,-1.781888860E0
3.890048375E0,1.001041292E3,3.536710769E-1
3.900048583E0,9.977202481E2,-7.768867662E-1
3.910048792E0,9.987102029E2,-4.390973446E-1
3.920049000E0,9.993641744E2,-2.163182282E-1
3.930049208E0,9.982194753E2,-6.064582087E-1
3.940049417E0,1.000065283E3,2.219470828E-2
3.950049625E0,9.988379211E2,-3.955665040E-1
3.960049833E0,9.961300274E2,-1.320902539E0
3.970050042E0,9.943105310E2,-1.945488257E0
3.980050250E0,9.972447505E2,-9.393730449E-1
3.990050458E0,9.959900708E2,-1.368864985E0
4.000050667E0,9.966939655E2,-1.127780202E0
4.010050875E0,9.963492362E2,-1.245807849E0
4.020051083E0,9.969161198E2,-1.051762793E0
4.030051292E0,9.962677598E2,-1.273715476E0
4.040051500E0,9.973644566E2,-8.984526749E-1
4.050051708E0,9.986961679E2,-4.438816535E-1
4.060051917E0,9.980160233E2,-6.758930311E-1
4.070052125E0,9.995209090E2,-1.629690017E-1
4.080052333E0,1.002013643E3,6.832626673E-1
4.090052542E0,1.001286872E3,4.369741547E-1
4.100052750E0,1.003463550E3,1.173542355E0
4.110052958E0,1.005375627E3,1.817940456E0
4.120053167E0,1.008609847E3,2.902358956E0
4.130053375E0,1.009172542E3,3.090318270E0
4.140053583E0,1.007344373E3,2.478881147E0
4.150053792E0,1.003266075E3,1.106850538E0
4.160054000E0,1.001278757E3,4.342221257E-1
4.170054208E0,1.000332878E3,1.131408832E-1
4.180054417E0,1.000099168E3,3.371364517E-2
4.190054625E0,9.989409171E2,-3.604699417E-1
4.200054833E0,9.993163035E2,-2.326158410E-1
