"Time (s)","Frequency (Hz)","Speed (m/s)"
2.325985625E0,1.005877033E3,3.413086946E0
2.335985833E0,1.005590187E3,NaN
2.345986042E0,1.005873293E3,NaN
2.355986250E0,1.006172444E3,1.524068564E0
2.365986458E0,1.004267610E3,2.149188202E0
2.375986667E0,1.006700616E3,1.377682940E0
2.385986875E0,1.007729402E3,1.986516271E0
2.395987083E0,1.005498384E3,1.890097451E0
2.405987292E0,1.003651622E3,1.985259488E0
2.415987500E0,1.007549276E3,2.085756755E0
2.425987708E0,1.007424195E3,1.444821450E0
2.435987917E0,1.006151021E3,2.263045741E0
2.445988125E0,1.007188688E3,2.607839644E0
2.455988333E0,1.005323220E3,1.859227652E0
2.465988542E0,1.003826200E3,1.237034385E0
2.475988750E0,1.003878374E3,2.547521748E0
2.485988958E0,1.004249377E3,3.379225409E0
2.495989167E0,1.006924366E3,2.505624159E0
2.505989375E0,1.005710237E3,2.078561938E0
2.515989583E0,1.002279024E3,2.426708943E0
2.525989792E0,9.972804878E2,1.800311359E0
2.535990000E0,1.004051060E3,1.295949557E0
2.545990208E0,1.004295375E3,1.313552588E0
2.555990417E0,9.991415372E2,1.438674568E0
2.565990625E0,1.001012955E3,2.338094679E0
2.575990833E0,1.003008302E3,1.930457293E0
2.585991042E0,1.003002819E3,7.731063393E-1
2.595991250E0,1.002926236E3,-9.271555746E-1
2.605991459E0,1.001164165E3,1.371803282E0
2.615991667E0,9.992278955E2,1.454181308E0
2.625991875E0,9.955836808E2,-2.921281352E-1
2.635992084E0,9.949907855E2,3.440562816E-1
2.645992292E0,9.951397479E2,1.019754903E0
2.655992500E0,NaN,1.017901910E0
2.665992709E0,9.956280503E2,9.920174932E-1
2.675992917E0,9.952055026E2,3.953559808E-1
2.685993125E0,9.968500218E2,-2.627183645E-1
2.695993334E0,9.991541199E2,-1.508209268E0
2.705993542E0,9.993626172E2,-1.711707227E0
2.715993750E0,1.000533916E3,-1.660556436E0
2.725993959E0,9.965405611E2,NaN
2.735994167E0,NaN,-1.492990172E0
2.745994375E0,NaN,-1.637982424E0
2.755994584E0,NaN,-1.074376866E0
2.765505520E0,9.919451283E2,-2.878427197E-1
2.775505728E0,9.954419593E2,-2.168483602E-1
2.785505937E0,9.971102603E2,1.814345094E-1
2.795506145E0,9.970501072E2,-1.180292382E0
2.805506353E0,9.969655873E2,NaN
2.815506562E0,9.953473041E2,NaN
2.825506770E0,9.938173999E2,NaN
2.835506978E0,9.931120458E2,-2.760895027E0
2.845507187E0,NaN,-1.556829944E0
2.855507395E0,9.948739196E2,-9.853589362E-1
2.865507603E0,9.954729423E2,-1.005930942E0
2.875507812E0,NaN,-1.034840438E0
2.885508020E0,NaN,-1.589311184E0
2.895508228E0,NaN,-2.115161239E0
2.905508437E0,NaN,-2.358147228E0
2.915508645E0,9.942675225E2,NaN
2.925508853E0,9.931180883E2,-1.751847463E0
2.935509062E0,9.940511594E2,-1.546199364E0
2.945509270E0,9.966200015E2,NaN
2.955509478E0,9.989141738E2,NaN
2.965509687E0,9.973241300E2,NaN
2.975509895E0,9.974104561E2,NaN
2.985510103E0,9.998948344E2,-1.960279622E0
2.995510312E0,1.001004497E3,-2.356064208E0
3.005510520E0,9.963408989E2,-2.034709976E0
3.015510728E0,9.937607393E2,-1.153096955E0
3.025510937E0,9.944189701E2,-3.695822236E-1
3.035511145E0,NaN,-9.122368429E-1
3.045511353E0,9.950374272E2,-8.827307893E-1
3.055511562E0,9.938994179E2,-3.576005309E-2
3.065511770E0,9.959501938E2,3.411862716E-1
3.075511978E0,9.986331336E2,-1.248663376E0
3.085512187E0,9.997068987E2,-2.134667387E0
3.095512395E0,1.001576892E3,-1.908199889E0
3.105512603E0,NaN,NaN
3.115512812E0,NaN,-1.695689720E0
3.125513020E0,NaN,-2.086929382E0
3.135513228E0,1.002371762E3,-1.382533090E0
3.145513437E0,9.976109793E2,-4.653706866E-1
3.155513645E0,1.001339272E3,-9.968366091E-2
3.165513854E0,1.000031060E3,5.352992350E-1
3.175514062E0,NaN,NaN
3.185514270E0,1.007269569E3,NaN
3.195514479E0,9.924422206E2,NaN
3.205514687E0,NaN,8.044909724E-1
3.215514895E0,9.965449683E2,-8.142121911E-1
3.225515104E0,1.001877691E3,4.547435148E-1
3.235515312E0,1.000511280E3,1.056000021E-2
3.245515520E0,9.972717715E2,NaN
3.255515729E0,1.001819090E3,2.453815332E0
3.265515937E0,1.004794387E3,-2.589213693E0
3.275516145E0,NaN,NaN
3.285516354E0,1.002363286E3,-1.178783515E0
3.295516562E0,1.007610695E3,6.372185304E-1
3.305516770E0,1.005866939E3,1.737465304E-1
3.315516979E0,1.006933663E3,-9.301353273E-1
3.332547812E0,1.004510720E3,6.173674464E-1
3.342548020E0,9.963761070E2,1.622313675E0
3.352548229E0,NaN,NaN
3.362548437E0,NaN,8.016226721E-1
3.372548645E0,NaN,2.568091404E0
3.382548854E0,9.987549037E2,1.983124336E0
3.392549062E0,9.979093735E2,2.341212381E0
3.402549270E0,9.987731600E2,1.526757862E0
3.412549479E0,9.993254347E2,-1.236604948E0
3.422549687E0,1.001171652E3,NaN
3.432549895E0,NaN,NaN
3.442550104E0,NaN,NaN
3.452550312E0,1.001601907E3,-4.238604722E-1
3.462550520E0,9.991208965E2,-7.123021578E-1
3.472550729E0,1.001649656E3,-4.176379820E-1
3.482550937E0,1.005848808E3,-2.295070047E-1
3.492551145E0,1.008963892E3,3.978954354E-1
3.502551354E0,1.009429282E3,NaN
3.512551562E0,1.006879838E3,NaN
3.522551770E0,1.004480457E3,5.437772991E-1
3.532551979E0,1.000918058E3,-2.991581928E-1
3.542552187E0,1.002228325E3,5.599593604E-1
3.552552395E0,1.002351246E3,1.977031315E0
3.562552604E0,1.003980716E3,3.020646675E0
3.572552812E0,1.007191413E3,3.176008504E0
3.582553020E0,1.008465157E3,2.323161941E0
3.592553229E0,1.007552983E3,1.516560470E0
3.602553437E0,1.005139920E3,3.118534092E-1
3.612553645E0,1.005535135E3,7.559459721E-1
3.622553854E0,1.007603634E3,7.975485423E-1
3.632554062E0,1.008511433E3,1.348077292E0
3.642554270E0,NaN,2.427622405E0
3.652554479E0,1.008599591E3,2.853993902E0
3.662554687E0,1.005480295E3,2.548763368E0
3.672554895E0,1.004312136E3,1.738636421E0
3.682555104E0,1.006472709E3,1.871586271E0
3.692555312E0,1.007631350E3,2.565726607E0
3.702555520E0,1.006812148E3,2.869464087E0
3.712555729E0,1.009425494E3,NaN
3.722555937E0,NaN,2.898931419E0
3.732556146E0,1.006924015E3,1.853144674E0
3.742556354E0,1.003684128E3,1.459831257E0
3.752556562E0,1.001256441E3,2.186567992E0
3.762556771E0,1.008012699E3,2.575008069E0
3.772556979E0,1.007363657E3,2.300459125E0
3.782557187E0,1.004439566E3,3.174744354E0
3.792557396E0,1.002870345E3,NaN
3.802557604E0,1.001853929E3,2.337976828E0
3.812557812E0,1.003756916E3,1.248005658E0
3.822558021E0,1.003366663E3,4.266539781E-1
3.832558229E0,1.002698400E3,2.702661877E0
3.842558437E0,1.002887067E3,3.426725439E0
3.852558646E0,1.001765567E3,2.485342148E0
3.862558854E0,1.000071381E3,1.502780702E0
3.872559062E0,1.001619492E3,9.731239561E-1
3.882559271E0,1.002059312E3,6.291694897E-1
3.886507863E0,1.004593684E3,1.272570647E0
3.896508071E0,1.000491360E3,1.140824729E0
3.906508280E0,1.001192188E3,9.149870355E-1
3.916508488E0,1.001535153E3,9.787770814E-1
3.926508696E0,1.000053836E3,5.992349358E-1
3.936508905E0,1.001111801E3,2.426770904E-2
3.946509113E0,9.997860654E2,5.497368720E-1
3.956509321E0,9.989180352E2,6.987270482E-1
3.966509530E0,9.980659868E2,1.554710575E0
3.976509738E0,9.961658787E2,1.669802708E-1
3.986509946E0,9.931678118E2,4.048613864E-1
3.996510155E0,9.943097968E2,5.211518981E-1
4.006510363E0,9.946127513E2,1.830323543E-2
4.016510571E0,9.957716886E2,3.775926625E-1
